iter	Passed	Remaining
414	3325	4687
415	3333	4679
416	3341	4671
417	3349	4663
418	3358	4656
419	3366	4648
420	3374	4640
421	3381	4631
422	3389	4623
423	3397	4615
424	3404	4606
425	3413	4599
426	3421	4591
427	3429	4583
428	3437	4575
429	3445	4567
430	3454	4560
431	3463	4553
432	3470	4545
433	3479	4537
434	3487	4529
435	3495	4521
436	3503	4513
437	3512	4506
438	3520	4498
439	3528	4490
440	3536	4483
441	3544	4474
442	3552	4467
443	3560	4459
444	3568	4450
445	3577	4443
446	3586	4437
447	3594	4429
448	3602	4420
449	3610	4412
450	3618	4405
451	3627	4397
452	3635	4389
453	3643	4381
454	3652	4374
455	3660	4367
456	3669	4359
457	3677	4351
458	3685	4343
459	3694	4336
460	3701	4328
461	3709	4320
462	3718	4312
463	3726	4304
464	3734	4296
465	3743	4289
466	3751	4281
467	3758	4272
468	3767	4265
469	3776	4258
470	3784	4250
471	3792	4242
472	3799	4233
473	3808	4225
474	3816	4217
475	3824	4210
476	3833	4203
477	3840	4194
478	3849	4186
479	3857	4179
480	3866	4171
481	3875	4164
482	3883	4156
483	3890	4148
484	3899	4140
485	3908	4133
486	3917	4126
487	3925	4118
488	3934	4111
489	3942	4103
490	3951	4096
491	3960	4089
492	3970	4083
493	3980	4076
494	3988	4068
495	3996	4060
496	4004	4052
497	4012	4044
498	4021	4037
499	4030	4030
500	4038	4021
501	4046	4014
502	4053	4005
503	4061	3997
504	4070	3989
505	4078	3981
506	4086	3973
507	4094	3965
508	4102	3957
509	4109	3948
510	4118	3940
511	4125	3932
512	4133	3924
513	4141	3915
514	4148	3907
515	4156	3898
516	4164	3890
517	4171	3881
518	4180	3873
519	4187	3865
520	4195	3857
521	4203	3849
522	4211	3841
523	4219	3833
524	4227	3825
525	4235	3817
526	4244	3809
527	4251	3800
528	4259	3792
529	4267	3784
530	4275	3776
531	4282	3767
532	4291	3759
533	4298	3751
534	4306	3743
535	4314	3735
536	4322	3726
537	4330	3718
538	4337	3709
539	4345	3701
540	4352	3693
541	4360	3684
542	4368	3676
543	4375	3668
544	4384	3660
545	4391	3651
546	4399	3643
547	4407	3635
548	4415	3627
549	4423	3619
550	4431	3611
551	4439	3603
552	4447	3594
553	4455	3587
554	4463	3578
555	4470	3570
556	4478	3561
557	4485	3553
558	4493	3544
559	4501	3536
560	4508	3528
561	4516	3519
562	4524	3512
563	4532	3503
564	4540	3495
565	4548	3487
566	4555	3479
567	4563	3470
568	4571	3462
569	4579	3454
570	4587	3446
571	4595	3438
572	4603	3430
573	4611	3422
574	4619	3414
575	4626	3405
576	4634	3397
577	4641	3389
578	4650	3381
579	4657	3372
580	4665	3364
581	4673	3356
582	4682	3349
583	4691	3341
584	4698	3333
585	4706	3324
586	4714	3316
587	4722	3308
588	4729	3300
589	4737	3292
590	4745	3284
591	4753	3276
592	4761	3268
593	4769	3259
594	4777	3251
595	4784	3243
596	4792	3235
597	4800	3227
598	4808	3219
599	4816	3211
600	4824	3203
601	4832	3194
602	4840	3187
603	4849	3179
604	4857	3171
605	4864	3162
606	4872	3154
607	4880	3146
608	4889	3139
609	4897	3130
610	4905	3123
611	4913	3114
612	4921	3106
613	4929	3098
614	4937	3090
615	4945	3082
616	4955	3075
617	4963	3068
618	4973	3061
619	4981	3053
620	4989	3044
621	4996	3036
622	5005	3028
623	5013	3020
624	5021	3013
625	5031	3005
626	5040	2998
627	5048	2990
628	5057	2982
629	5067	2975
630	5075	2968
631	5083	2960
632	5091	2952
633	5099	2944
634	5108	2936
635	5115	2928
636	5124	2920
637	5132	2911
638	5140	2904
639	5156	2900
640	5164	2892
641	5173	2884
642	5181	2876
643	5189	2868
644	5198	2861
645	5207	2853
646	5215	2845
647	5224	2838
648	5233	2830
649	5241	2822
650	5250	2814
651	5258	2806
652	5267	2799
653	5276	2791
654	5283	2783
655	5291	2774
656	5299	2766
657	5306	2758
658	5314	2750
659	5322	2741
660	5329	2733
661	5337	2725
662	5346	2717
663	5353	2709
664	5360	2700
665	5368	2692
666	5376	2684
667	5384	2676
668	5392	2667
669	5399	2659
670	5407	2651
671	5415	2643
672	5423	2635
673	5431	2626
674	5438	2618
675	5447	2610
676	5455	2602
677	5463	2594
678	5471	2586
679	5478	2578
680	5486	2570
681	5494	2561
682	5502	2553
683	5510	2545
684	5517	2537
685	5525	2529
686	5533	2521
687	5540	2512
688	5548	2504
689	5556	2496
690	5564	2488
691	5572	2480
692	5580	2472
693	5587	2463
694	5595	2455
695	5602	2447
696	5610	2439
697	5618	2431
698	5626	2422
699	5633	2414
700	5641	2406
701	5649	2398
702	5657	2390
703	5665	2381
704	5672	2373
705	5680	2365
706	5687	2357
707	5694	2348
708	5702	2340
709	5710	2332
710	5718	2324
711	5726	2316
712	5734	2308
713	5742	2300
714	5749	2291
715	5757	2283
716	5765	2275
717	5773	2267
718	5780	2259
719	5788	2251
720	5796	2242
721	5804	2234
722	5812	2226
723	5821	2219
724	5828	2210
725	5836	2202
726	5844	2194
727	5852	2186
728	5860	2178
729	5867	2170
730	5875	2162
731	5883	2153
732	5890	2145
733	5899	2138
734	5910	2131
735	5919	2123
736	5928	2115
737	5936	2107
738	5945	2099
739	5955	2092
740	5964	2084
741	5974	2077
742	5984	2069
743	5993	2062
744	6003	2054
745	6014	2047
746	6024	2040
747	6032	2032
748	6041	2024
749	6049	2016
750	6058	2008
751	6066	2000
752	6074	1992
753	6082	1984
754	6090	1976
755	6098	1968
756	6107	1960
757	6115	1952
758	6123	1944
759	6131	1936
760	6138	1927
761	6146	1919
762	6155	1911
763	6163	1903
764	6171	1895
765	6180	1888
766	6189	1880
767	6197	1872
768	6207	1864
769	6217	1857
770	6226	1849
771	6235	1841
772	6245	1834
773	6256	1826
774	6265	1818
775	6274	1811
776	6283	1803
777	6294	1796
778	6304	1788
779	6314	1781
780	6325	1773
781	6334	1765
782	6342	1757
783	6351	1749
784	6360	1741
785	6369	1734
786	6378	1726
787	6387	1718
788	6396	1710
789	6405	1702
790	6413	1694
791	6421	1686
792	6429	1678
793	6437	1670
794	6445	1662
795	6453	1653
796	6462	1646
797	6470	1638
798	6479	1630
799	6487	1621
800	6495	1613
801	6504	1605
802	6512	1597
803	6521	1589
804	6529	1581
805	6538	1573
806	6546	1565
807	6554	1557
808	6563	1549
809	6571	1541
810	6579	1533
811	6588	1525
812	6596	1517
813	6605	1509
814	6613	1501
815	6621	1493
816	6630	1485
817	6638	1477
818	6648	1469
819	6657	1461
820	6665	1453
821	6675	1445
822	6684	1437
823	6694	1429
824	6702	1421
825	6711	1413
826	6719	1405
827	6728	1397
828	6737	1389
829	6746	1381
830	6755	1373
831	6763	1365
832	6771	1357
833	6780	1349
834	6788	1341
835	6798	1333
836	6807	1325
837	6816	1317
838	6825	1309
839	6833	1301
840	6842	1293
841	6850	1285
842	6858	1277
843	6865	1269
844	6874	1260
845	6881	1252
846	6889	1244
847	6897	1236
848	6905	1228
849	6913	1220
850	6920	1211
851	6928	1203
852	6935	1195
853	6944	1187
854	6952	1179
855	6960	1170
856	6968	1162
857	6976	1154
858	6984	1146
859	6993	1138
860	7001	1130
861	7009	1122
862	7017	1114
863	7025	1105
864	7033	1097
865	7043	1089
866	7052	1081
867	7063	1074
868	7073	1066
869	7082	1058
870	7091	1050
871	7100	1042
