iter	MultiClass
0	1.711586071
1	1.543802676
2	1.429430526
3	1.327849351
4	1.248191086
5	1.181510271
6	1.124363885
7	1.075015088
8	1.032364863
9	0.9926101517
10	0.9581123968
11	0.9270277961
12	0.8986901681
13	0.8724889907
14	0.8483001377
15	0.8279472494
16	0.8106418948
17	0.7915847977
18	0.7755232474
19	0.761451125
20	0.7477012638
21	0.7369496404
22	0.727424928
23	0.7178903755
24	0.7076301915
25	0.6993388878
26	0.6917227886
27	0.6848465689
28	0.6786143419
29	0.6729126823
30	0.6679266724
31	0.6615415186
32	0.6563377423
33	0.6517651417
34	0.6471815113
35	0.6417737236
36	0.637183408
37	0.6342745739
38	0.6299536716
39	0.6258123784
40	0.622877564
41	0.6198782676
42	0.6162538235
43	0.6134004981
44	0.6109606858
45	0.6095911153
46	0.6068915514
47	0.6049385151
48	0.6031853586
49	0.6007280232
50	0.5972348305
51	0.5956803565
52	0.5933785813
53	0.591213398
54	0.5891421449
55	0.5874249585
56	0.5842304929
57	0.5814661011
58	0.5800654646
59	0.5786367442
60	0.5769359052
61	0.5753489129
62	0.57335842
63	0.5723358059
64	0.5713552668
65	0.5698525961
66	0.568033453
67	0.5663197127
68	0.5648427759
69	0.5638858175
70	0.5631510127
71	0.5616324994
72	0.5605767736
73	0.5596369574
74	0.5585244037
75	0.5571730121
76	0.5565550149
77	0.5548814559
78	0.5541294397
79	0.5533093072
80	0.5514886034
81	0.5505614516
82	0.5494402608
83	0.5482555008
84	0.547539778
85	0.5462663136
86	0.5453586237
87	0.5448781051
88	0.5436484609
89	0.5426703215
90	0.5415310691
91	0.5407367278
92	0.5397579777
93	0.5392490283
94	0.5386674546
95	0.5376212424
96	0.5371803403
97	0.536354812
98	0.535595659
99	0.534859983
100	0.5335828329
101	0.5330114714
102	0.5325551586
103	0.5318822543
104	0.5314614601
105	0.5303845441
106	0.5297153185
107	0.5286981427
108	0.5280515852
109	0.5272875581
110	0.5264628979
111	0.5253832815
112	0.5245709846
113	0.5238762376
114	0.5228241252
115	0.5221191558
116	0.5212424646
117	0.5206611101
118	0.520026647
119	0.5192720718
120	0.5188693794
121	0.5180485867
122	0.5173154159
123	0.5163593036
124	0.5156434488
125	0.5144883071
126	0.5132348522
127	0.51214242
128	0.5110341445
129	0.5106102336
130	0.5101741259
131	0.509568812
132	0.5091435164
133	0.5086772482
134	0.5083651817
135	0.5071499671
136	0.5065500838
137	0.5058089695
138	0.5050292331
139	0.5040156356
140	0.5033680874
141	0.5017536689
142	0.5012883924
143	0.4998061651
144	0.4990618959
145	0.498350295
146	0.4975513914
147	0.4970592153
148	0.496233502
149	0.4955608072
150	0.494413974
151	0.4938217421
152	0.4931207153
153	0.4926730658
154	0.4919718577
155	0.4914058185
156	0.4909358401
157	0.4903166691
158	0.4897604825
159	0.4893208449
160	0.4888351675
161	0.4882084667
162	0.4878998268
163	0.4875163712
164	0.4864766489
165	0.4862038693
166	0.485366504
167	0.4848322615
168	0.4838011366
169	0.4827793488
170	0.4818713543
171	0.481554384
172	0.4809892708
173	0.4806743935
174	0.4800032325
175	0.4795840068
176	0.4786171732
177	0.4780362583
178	0.4773116793
179	0.4768569685
180	0.4766082108
181	0.4760942689
182	0.4757311752
183	0.4749695989
184	0.474502026
185	0.4739173212
186	0.473279773
187	0.4729817898
188	0.4725977942
189	0.4722409178
190	0.4718829905
191	0.4715530693
192	0.4711204122
193	0.4706419961
194	0.4695902827
195	0.4688533948
196	0.4683857803
197	0.4680309731
198	0.4675241662
199	0.4669973506
200	0.4660682331
201	0.4658359682
202	0.4656350838
203	0.465050575
204	0.4646213124
205	0.4641892788
206	0.4637937393
207	0.4634406333
208	0.4631935806
209	0.4628544543
210	0.4624083277
211	0.4619753065
212	0.4610793667
213	0.460189868
214	0.4599513287
215	0.4593873876
216	0.4587317978
217	0.4584786462
218	0.4582353303
219	0.4580282875
220	0.4576517478
221	0.4569253568
222	0.4563138513
223	0.4560384492
224	0.4556104912
225	0.4553404163
226	0.4548244287
227	0.4546104904
228	0.4542000916
229	0.4539551553
230	0.4533513245
231	0.4529972381
232	0.4528429246
233	0.4516639542
234	0.4510897953
235	0.4506432634
236	0.4504226162
237	0.4501590808
238	0.4495548101
239	0.4489909892
240	0.4487065477
241	0.4479686227
242	0.447500079
243	0.4472909504
244	0.4466591351
245	0.446150638
246	0.4458883195
247	0.445752063
248	0.4453000375
249	0.4447658687
250	0.4444216006
251	0.4440342668
252	0.4437426584
253	0.4435230261
254	0.4432234963
255	0.4428694767
256	0.4422539139
257	0.4419634927
258	0.441267814
259	0.4408300012
260	0.440200227
261	0.4396488404
262	0.4393607132
263	0.4391231414
264	0.4388238443
265	0.4386411929
266	0.438024895
267	0.4378082969
268	0.4375299897
269	0.4372278837
270	0.4370204385
271	0.4367490001
272	0.4360830055
273	0.4355942494
274	0.4353632208
275	0.4347866957
276	0.43448515
277	0.4342977407
278	0.4340245267
279	0.4337731664
280	0.4335745779
281	0.4333570811
282	0.4330148199
283	0.4325316835
284	0.4319824594
285	0.431800612
286	0.4314658846
287	0.4312789028
288	0.4310038049
289	0.4307795784
290	0.4305519289
291	0.4301521579
292	0.4293940039
293	0.4291652519
294	0.4288142962
295	0.4286320124
296	0.4279645305
297	0.4275928864
298	0.427230982
299	0.4268794935
300	0.426617803
301	0.4263089872
302	0.4259797282
303	0.4255179218
304	0.4250833126
305	0.4248502508
306	0.4245804735
307	0.4243571803
308	0.4240746087
309	0.4238862603
310	0.4236906776
311	0.4234534714
312	0.4232696566
313	0.4228480004
314	0.4226578022
315	0.4223765222
316	0.4221636694
317	0.421910846
318	0.4217604118
319	0.4215465922
320	0.4211457831
321	0.4208670459
322	0.4207472695
323	0.4206550112
324	0.4204873735
325	0.4201016857
326	0.4198604738
327	0.4196003882
328	0.419265947
329	0.4191824075
330	0.4190163723
331	0.418875592
332	0.4186785057
333	0.4183644895
334	0.4182380044
335	0.4180019509
336	0.4176636319
337	0.4171449871
338	0.4169891779
339	0.4166014088
340	0.4163975187
341	0.4159522332
342	0.4158143541
343	0.4154603083
344	0.4151683392
345	0.4148055768
346	0.4142631798
347	0.4140813101
348	0.4139246477
349	0.4137761958
350	0.4133346834
351	0.4131114638
352	0.4126154573
353	0.4124471392
354	0.4122918667
355	0.4120301453
356	0.4116185307
357	0.4114854349
358	0.4113179952
359	0.410908186
360	0.410696579
361	0.4105850166
362	0.4104683351
363	0.4102202731
364	0.4100498755
365	0.4097823737
366	0.4095894899
367	0.4093350319
368	0.4090670503
369	0.4089156653
370	0.4086479316
371	0.4083181492
372	0.4081208106
373	0.4077241667
374	0.4074706958
375	0.4072606642
376	0.4071780583
377	0.4067669084
378	0.4063338576
379	0.4060619009
380	0.4058144461
381	0.4056537281
382	0.4053561984
383	0.4049795072
384	0.4046854605
385	0.4043006334
386	0.4040880001
387	0.4037858784
388	0.4035710629
389	0.4032667878
390	0.4031060561
391	0.4028086062
392	0.4024344987
393	0.4022320949
394	0.4021005657
395	0.4017331207
396	0.4016093994
397	0.401120597
398	0.4009451297
399	0.4006955921
400	0.4006021752
401	0.4004347934
402	0.4003218676
403	0.4000792064
404	0.3999841529
405	0.3995697284
406	0.3993346182
407	0.3991381972
408	0.3989455064
409	0.3987172274
410	0.3984444635
411	0.3981109986
412	0.3978851187
413	0.397483519
414	0.3971143572
415	0.3970114796
416	0.3968613053
417	0.3963506451
418	0.3961793136
419	0.3960097453
420	0.3959138961
421	0.3958440235
422	0.395746679
423	0.3954692939
424	0.3952913609
425	0.3949571673
426	0.394725602
427	0.3945830578
428	0.3943916355
429	0.3942086187
430	0.394082126
431	0.3937937376
432	0.393571081
433	0.3934217429
434	0.3930234134
435	0.3929146847
436	0.3926640909
437	0.3924625726
438	0.3922249108
439	0.3919750509
440	0.3919184805
441	0.3918549318
442	0.3917169928
443	0.3915595373
444	0.3914074706
445	0.3912622232
446	0.3909639036
447	0.3907571359
448	0.390605076
449	0.390509341
450	0.3901663801
451	0.389999735
452	0.389725275
453	0.3895744659
454	0.389346069
455	0.3892208681
456	0.3888934969
457	0.3887333734
458	0.3884435388
459	0.3882375969
460	0.3881692062
461	0.3880363217
462	0.3877699371
463	0.387673675
464	0.3874489747
465	0.387268594
466	0.3870918314
467	0.3869578825
468	0.3868777367
469	0.386649327
470	0.3864794241
471	0.3863203685
472	0.3860019922
473	0.3856787689
474	0.3855690337
475	0.3853564962
476	0.3850182536
477	0.3849038408
478	0.3848387805
479	0.3847064174
480	0.3843864849
481	0.3842832382
482	0.38414411
483	0.3839817726
484	0.3839129952
485	0.3837448762
486	0.3835759987
487	0.3834254578
488	0.3832379403
489	0.3830055115
490	0.3828890897
491	0.382648233
492	0.382363952
493	0.3820915943
494	0.3820215972
495	0.3818953491
496	0.3817123517
497	0.381583892
498	0.3814793031
499	0.3813210455
500	0.3812601484
501	0.3810435776
502	0.3809183395
503	0.3807008384
504	0.3805243407
505	0.3804257585
506	0.3803194803
507	0.3802147086
508	0.3799541292
509	0.3798708093
510	0.3797855568
511	0.379567301
512	0.3794839592
513	0.3793641488
514	0.3792805115
515	0.3790511059
516	0.3789837705
517	0.378879633
518	0.3786987848
519	0.3785805799
520	0.3784116724
521	0.3783160172
522	0.378131231
523	0.3780088512
524	0.3778237372
525	0.3775914991
526	0.37722331
527	0.3769636694
528	0.3767352802
529	0.3763667362
530	0.3761540469
531	0.3760755132
532	0.37573123
533	0.375462515
534	0.3752797731
535	0.3750652269
536	0.3749875528
537	0.3748131022
538	0.3746865925
539	0.3745940506
540	0.3744298996
541	0.3742623656
542	0.3741201727
543	0.3740336491
544	0.3736253
545	0.3735636324
546	0.3733803504
547	0.3731784675
548	0.3729062602
549	0.3727928079
550	0.3726645379
551	0.3723336041
552	0.3722229572
553	0.372101953
554	0.3719948343
555	0.3717653858
556	0.371447994
557	0.3712936293
558	0.3710753419
559	0.3708337071
560	0.3707101246
561	0.3706086786
562	0.3703776982
563	0.370223192
564	0.3698650452
565	0.3697727298
566	0.3697197631
567	0.3695197822
568	0.3692445264
569	0.3690179818
570	0.368816893
571	0.368778295
572	0.3686480822
573	0.3685565062
574	0.3683439496
575	0.3681812601
576	0.3681287717
577	0.3679685693
578	0.3678356745
579	0.3677238735
580	0.3675409016
581	0.3673796786
582	0.3670674059
583	0.3669135949
584	0.3667467287
585	0.3665778904
586	0.3663386275
587	0.3662052107
588	0.3660485872
589	0.365943276
590	0.3657752008
591	0.3656106837
592	0.3655636944
593	0.3654090509
594	0.3652440018
595	0.3651056172
596	0.3649782273
597	0.3648791781
598	0.3647809421
599	0.3645979825
